Title,Rotten Tomatoes URL,Trailer URL,Runtime,Genre,Year,Critics,Audience
Eternity,https://www.rottentomatoes.com/m/eternity_2025,https://www.youtube.com/watch?v=irXTps1REHU,1h 54m,Romcom,2025,76%,90%
F1: The Movie,https://www.rottentomatoes.com/m/f1_the_movie,https://www.youtube.com/watch?v=69ffwl-8pCU,2h 35m,Action / Drama,2025,82%,97%
Mercy,https://www.rottentomatoes.com/m/mercy_2026,https://www.youtube.com/watch?v=dSS4yqd0x6o,1h 39m,Sci-Fi / Thriller,2026,25%,83%
Marty Supreme,https://www.rottentomatoes.com/m/marty_supreme,https://www.youtube.com/watch?v=s9gSuKaKcqM,2h 30m,Mystery / Drama,2025,93%,82%
Greenland 2,https://www.rottentomatoes.com/m/greenland_2_migration,https://www.youtube.com/watch?v=_FEOCxb6gC0,1h 38m,Action,2026,49%,67%
28 Years Later: Bone Temple,https://www.rottentomatoes.com/m/28_years_later_the_bone_temple,https://www.youtube.com/watch?v=EOwTdTZA8D8,1h 49m,Horror,2026,92%,88%
Highest 2 Lowest,https://www.rottentomatoes.com/m/highest_2_lowest,https://www.youtube.com/watch?v=Sh8yqcozfn8,2h 13m,Thriller / Crime,2025,83%,83%
Fly Me to the Moon,https://www.rottentomatoes.com/m/fly_me_to_the_moon_2024,https://www.youtube.com/watch?v=lW7enw6mFxs,2h 11m,Comedy / Drama,2024,66%,89%
Wake Up Dead Man (Knives Out),https://www.rottentomatoes.com/m/wake_up_dead_man_a_knives_out_mystery,https://www.youtube.com/watch?v=0hc8yz5-d5Y,2h 25m,Whodunnit,2025,92%,94%
Predator Badlands,https://www.rottentomatoes.com/m/predator_badlands,https://www.youtube.com/watch?v=43R9l7EkJwE,1h 47,Action / Horror,2025,86%,95%
Nonnas,https://www.rottentomatoes.com/m/nonnas,https://youtu.be/rDJxJd3FzDY?si=UqewhwOilV_fh8Lb,1h 54m,Comedy / Drama,2025,82%,72%
The Life of Chuck,https://www.rottentomatoes.com/m/the_life_of_chuck,https://youtu.be/jlN1Mmj6YNo?si=Ni6JIS9hvI_8xyAE,1h 50m,Drama Fantasy,2025,80%,88%
Together,https://www.rottentomatoes.com/m/together_2025,https://youtu.be/9bqIwMH3En8?si=373Ig-QEDSv5LSUF,1h 41m,Horror,2025,89%,76%
IF,https://www.rottentomatoes.com/m/if_2024,https://youtu.be/mb2187ZQtBE?si=XUgSjlFuoQH4Qacw,1h 44m,Kids / Family,2024,51%,85%
Sketch,https://www.rottentomatoes.com/m/sketch_2024,https://youtu.be/6ru4xaU_cHc?si=77EfhhqgilLR3yKH,1h 32m,Comedy / Adventure,2024,95%,83%
The Conjuring 4,https://www.rottentomatoes.com/m/the_conjuring_last_rites,https://youtu.be/bMgfsdYoEEo?si=5nLwQ4kIipC4VUpd,2h 15m,Horror,2025,57%,77%
Nobody 2,https://www.rottentomatoes.com/m/nobody_2,https://youtu.be/-5X2pt95cIo?si=MVPrUyw-KK8W9ELs,1h 29m,Action / Comedy,2025,76%,88%